,0,1,2,3,4,5
0,17.500052772,10.0.0.1,10.0.0.18,UDP,1042,35246 → 43355 Len=1000
1,17.500255551,10.0.0.5,10.0.0.16,UDP,1042,60736 → 43355 Len=1000
2,17.500697051,10.0.0.2,10.0.0.17,UDP,1042,58356 → 43355 Len=1000
3,17.501065846,10.0.0.8,10.0.0.20,UDP,1042,56156 → 43355 Len=1000
4,17.501162347,10.0.0.10,10.0.0.16,UDP,1042,40975 → 43355 Len=1000
5,17.501727677,10.0.0.5,10.0.0.13,UDP,1042,60736 → 43355 Len=1000
6,17.501933356,10.0.0.9,10.0.0.18,UDP,1042,57725 → 43355 Len=1000
7,17.501999895,10.0.0.7,10.0.0.15,UDP,1042,49323 → 43355 Len=1000
8,17.502216387,10.0.0.1,10.0.0.16,UDP,1042,35246 → 43355 Len=1000
9,17.502678748,10.0.0.2,10.0.0.11,UDP,1042,58356 → 43355 Len=1000
10,17.503968334,10.0.0.9,10.0.0.12,UDP,1042,57725 → 43355 Len=1000
11,17.504023812,10.0.0.10,10.0.0.14,UDP,1042,40975 → 43355 Len=1000
12,17.504096799,10.0.0.8,10.0.0.20,UDP,1042,56156 → 43355 Len=1000
13,17.504233025,10.0.0.1,10.0.0.18,UDP,1042,35246 → 43355 Len=1000
14,17.504646956,10.0.0.5,10.0.0.16,UDP,1042,60736 → 43355 Len=1000
15,17.504878470,10.0.0.7,10.0.0.14,UDP,1042,49323 → 43355 Len=1000
16,17.505605892,10.0.0.2,10.0.0.19,UDP,1042,58356 → 43355 Len=1000
17,17.505777383,10.0.0.1,10.0.0.19,UDP,1042,35246 → 43355 Len=1000
18,17.505915631,10.0.0.10,10.0.0.15,UDP,1042,40975 → 43355 Len=1000
19,17.506265051,10.0.0.8,10.0.0.11,UDP,1042,56156 → 43355 Len=1000
20,17.506445581,10.0.0.5,10.0.0.13,UDP,1042,60736 → 43355 Len=1000
21,17.506933531,10.0.0.9,10.0.0.13,UDP,1042,57725 → 43355 Len=1000
22,17.507419427,10.0.0.7,10.0.0.12,UDP,1042,49323 → 43355 Len=1000
23,17.507915068,10.0.0.5,10.0.0.14,UDP,1042,60736 → 43355 Len=1000
24,17.508138271,10.0.0.2,10.0.0.19,UDP,1042,58356 → 43355 Len=1000
25,17.508255352,10.0.0.1,10.0.0.13,UDP,1042,35246 → 43355 Len=1000
26,17.508632252,10.0.0.8,10.0.0.19,UDP,1042,56156 → 43355 Len=1000
27,17.508655935,10.0.0.10,10.0.0.17,UDP,1042,40975 → 43355 Len=1000
28,17.509379413,10.0.0.7,10.0.0.18,UDP,1042,49323 → 43355 Len=1000
29,17.509497973,10.0.0.9,10.0.0.17,UDP,1042,57725 → 43355 Len=1000
30,17.509634521,10.0.0.5,10.0.0.19,UDP,1042,60736 → 43355 Len=1000
31,17.510015873,10.0.0.8,10.0.0.14,UDP,1042,56156 → 43355 Len=1000
32,17.510553665,10.0.0.2,10.0.0.13,UDP,1042,58356 → 43355 Len=1000
33,17.510712452,10.0.0.7,10.0.0.16,UDP,1042,49323 → 43355 Len=1000
