,0,1,2,3,4,5
0,13.800262395,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
1,13.800288898,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
2,13.800452845,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
3,13.800479375,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
4,13.800821887,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
5,13.800939044,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
6,13.800964189,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
7,13.801362393,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
8,13.801526887,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
9,13.801961825,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
10,13.801989943,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
11,13.802545434,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
12,13.802642900,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
13,13.803321510,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
14,13.803433095,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
15,13.803537450,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
16,13.803569427,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
17,13.803782585,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
18,13.804211291,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
19,13.804327731,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
20,13.804352428,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
21,13.804750615,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
22,13.805498784,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
23,13.805556583,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
24,13.805590768,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
25,13.805642682,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
26,13.805695941,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
27,13.806377917,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
28,13.806497537,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
29,13.807047122,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
30,13.807071490,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
31,13.807095116,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
32,13.807215380,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
33,13.807334177,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
34,13.807958242,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
35,13.807979330,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
36,13.808077922,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
37,13.808102647,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
38,13.808473315,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
39,13.808494859,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
40,13.808743473,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
41,13.809255718,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
42,13.809277644,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
43,13.809664666,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
44,13.809685687,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
45,13.809897601,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
46,13.810044939,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
47,13.810848233,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
48,13.810875951,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
49,13.810899248,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
50,13.810927536,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
51,13.810948775,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
52,13.811178681,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
53,13.811443718,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
54,13.812191975,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
55,13.812213679,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
56,13.812324113,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
57,13.812441072,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
58,13.812710543,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
59,13.812733648,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
60,13.812958975,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
61,13.813246576,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
62,13.813552048,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
63,13.813576639,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
64,13.813734341,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
65,13.813757625,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
66,13.813851022,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
67,13.813873197,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
68,13.813967226,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
69,13.814419023,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
70,13.815007945,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
71,13.815028594,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
72,13.815225334,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
73,13.815373753,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
74,13.815501642,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
75,13.815621640,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
76,13.815642979,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
77,13.815660262,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
78,13.816201544,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
79,13.816317272,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
80,13.816497150,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
81,13.816517709,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
82,13.816691288,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
83,13.817154693,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
84,13.817369840,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
85,13.817485845,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
86,13.817649018,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
87,13.817669672,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
88,13.818104595,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
89,13.818469315,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
90,13.818586328,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
91,13.818608007,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
92,13.818714316,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
93,13.819227861,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
94,13.819507680,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
95,13.819529086,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
96,13.820244563,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
97,13.820265869,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
98,13.820283615,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
99,13.820670392,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
100,13.820866677,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
101,13.821044509,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
102,13.821183471,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
103,13.821436519,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
104,13.821633016,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
105,13.821962850,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
106,13.822299032,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
107,13.822493017,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
108,13.822929858,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
109,13.822955290,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
110,13.823051750,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
111,13.823231910,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
112,13.823726817,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
113,13.824074963,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
114,13.824197488,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
115,13.824218182,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
116,13.824796862,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
117,13.824817704,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
118,13.824912391,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
119,13.825296499,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
120,13.825317491,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
121,13.825334007,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
122,13.825349952,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
123,13.825622243,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
124,13.826368330,10.0.0.9,10.0.0.20,UDP,1042,59966 → 43355 Len=1000
125,13.826793247,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
126,13.826812402,10.0.0.10,10.0.0.20,UDP,1042,48995 → 43355 Len=1000
127,13.827189716,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
128,13.827208637,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
129,13.827305072,10.0.0.3,10.0.0.11,UDP,1042,54645 → 43355 Len=1000
130,13.827420096,10.0.0.4,10.0.0.11,UDP,1042,38248 → 43355 Len=1000
131,13.827535133,10.0.0.8,10.0.0.20,UDP,1042,48198 → 43355 Len=1000
132,13.827998622,10.0.0.2,10.0.0.11,UDP,1042,51005 → 43355 Len=1000
133,13.828113200,10.0.0.6,10.0.0.20,UDP,1042,54945 → 43355 Len=1000
134,13.828514547,10.0.0.7,10.0.0.20,UDP,1042,39361 → 43355 Len=1000
135,13.828987141,10.0.0.5,10.0.0.11,UDP,1042,54677 → 43355 Len=1000
136,13.829345066,10.0.0.1,10.0.0.11,UDP,1042,42742 → 43355 Len=1000
