"No.","Time","Source","Destination","Protocol","Length","Info"
"68","0.506990332","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"69","0.585502794","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"70","0.510518289","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"71","0.588504755","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"72","0.513540618","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"73","0.592512109","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"74","0.596503883","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"75","0.517506083","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"76","0.603543385","10.0.0.1","10.0.0.11","UDP","1512","44203  >  5001 Len=1470"
"77","0.589565052","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"78","0.624440288","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"79","0.628507736","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"80","0.654578286","10.0.0.2","10.0.0.11","UDP","1512","45168  >  5001 Len=1470"
"81","0.593501922","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"82","0.597497874","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"83","0.601506961","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"84","0.604504384","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"85","0.608506157","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"86","0.612499554","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"87","0.615523888","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"88","0.619510402","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"89","0.623524839","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"90","0.627506885","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"91","0.630567226","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"92","0.634592103","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"93","0.544200140","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"94","0.521491395","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"95","0.548558849","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"96","0.551427949","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"97","0.525507355","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"98","0.555506427","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"99","0.559583402","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"100","0.563493182","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"101","0.566496084","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"102","0.570534437","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"103","0.574535839","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"104","0.638573438","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"105","0.578634236","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"106","0.581494118","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"107","0.585498326","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"108","0.528501892","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"109","0.589520207","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"110","0.532327983","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"111","0.536570471","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"112","0.540564079","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"113","0.593510879","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"114","0.642573889","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"115","0.543570098","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"116","0.645509163","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"117","0.649525013","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"118","0.653516287","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"119","0.657518230","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"120","0.660520102","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"121","0.547563365","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"122","0.664519321","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"123","0.668513119","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"124","0.513276899","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"125","0.551380188","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"126","0.517510426","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"127","0.555494114","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"128","0.672517938","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"129","0.521492938","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"130","0.558508208","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"131","0.524505269","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"132","0.675532693","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"133","0.562499010","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"134","0.528508805","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"135","0.566513918","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"136","0.532333383","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"137","0.679568160","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"138","0.570547781","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"139","0.573502293","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"140","0.596503963","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"141","0.577509938","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"142","0.600501769","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"143","0.581530632","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"144","0.585523262","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"145","0.588550431","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"146","0.683580829","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"147","0.686568478","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"148","0.604513541","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"149","0.690641697","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"150","0.535549810","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"151","0.694582504","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"152","0.539583493","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"153","0.543563846","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"154","0.608516025","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"155","0.611507457","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"156","0.615510102","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"157","0.619525711","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"158","0.622582205","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"159","0.626595320","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"160","0.630604355","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"161","0.634592184","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"162","0.637506749","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"163","0.641565059","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"164","0.645520615","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"165","0.632511072","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"166","0.635514890","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"167","0.639514539","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"168","0.643517515","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"169","0.647520089","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"170","0.650596421","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"171","0.654579609","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"172","0.658574716","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"173","0.662599708","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"174","0.665523618","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"175","0.669521147","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"176","0.673519490","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"177","0.677548468","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"178","0.680561279","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"179","0.684611541","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"180","0.688547974","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"181","0.691537532","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"182","0.695529523","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"183","0.699527389","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"184","0.703524103","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"185","0.706600878","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"186","0.710568688","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"187","0.714554517","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"188","0.718578145","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"189","0.721538768","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"190","0.725537081","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"191","0.547558175","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"192","0.551419704","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"193","0.554543715","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"194","0.558523296","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"195","0.562504631","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"196","0.565489119","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"197","0.569504798","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"198","0.573511050","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"199","0.577517752","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"200","0.580547486","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"201","0.584530895","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"202","0.587819555","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"203","0.592507948","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"204","0.595512814","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"205","0.599552289","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"206","0.603505460","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"207","0.607579173","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"208","0.610563898","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"209","0.614604528","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"210","0.600547014","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"211","0.603560648","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"212","0.607511184","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"213","0.611509721","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"214","0.615551490","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"215","0.618514838","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"216","0.622303217","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"217","0.626542239","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"218","0.630547730","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"219","0.633512290","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"220","0.637515406","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"221","0.641511488","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"222","0.645514413","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"223","0.648511145","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"224","0.652513399","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"225","0.656518779","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"226","0.659549124","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"227","0.663525280","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"228","0.667524999","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"229","0.671513938","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
"230","0.854579645","10.0.0.1","10.0.0.11","UDP","1512","44203  >  5001 Len=1470"
"231","0.768619468","10.0.0.9","10.0.0.11","UDP","1512","45367  >  5001 Len=1470"
"232","0.865505139","10.0.0.4","10.0.0.11","UDP","1512","36170  >  5001 Len=1470"
"233","0.905509359","10.0.0.2","10.0.0.11","UDP","1512","45168  >  5001 Len=1470"
"234","0.896520698","10.0.0.5","10.0.0.11","UDP","1512","36168  >  5001 Len=1470"
"235","0.839552817","10.0.0.3","10.0.0.11","UDP","1512","37131  >  5001 Len=1470"
"236","0.849455329","10.0.0.10","10.0.0.11","UDP","1512","35896  >  5001 Len=1470"
"237","0.976540263","10.0.0.8","10.0.0.11","UDP","1512","39614  >  5001 Len=1470"
"238","0.853503991","10.0.0.10","10.0.0.11","UDP","1512","35896  >  5001 Len=1470"
"239","0.857490335","10.0.0.10","10.0.0.11","UDP","1512","35896  >  5001 Len=1470"
"240","0.860494300","10.0.0.10","10.0.0.11","UDP","1512","35896  >  5001 Len=1470"
"241","0.945511503","10.0.0.7","10.0.0.11","UDP","1512","47346  >  5001 Len=1470"
"242","0.773513240","10.0.0.9","10.0.0.11","UDP","1512","45367  >  5001 Len=1470"
"243","0.775534395","10.0.0.9","10.0.0.11","UDP","1512","45367  >  5001 Len=1470"
"244","0.780555787","10.0.0.9","10.0.0.11","UDP","1512","45367  >  5001 Len=1470"
"245","0.922541061","10.0.0.6","10.0.0.11","UDP","1512","35764  >  5001 Len=1470"
