,0,1,2,3,4,5,6
67,954,0.250969253,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
68,956,0.251372167,10.0.0.10,10.0.0.14,UDP,574,37053 → 28866 Len=532
69,971,0.251902645,10.0.0.10,10.0.0.15,UDP,499,37053 → 28866 Len=457
70,1013,0.256014709,10.0.0.8,10.0.0.15,UDP,216,45397 → 28866 Len=174
71,1014,0.256062037,10.0.0.8,10.0.0.15,UDP,701,45397 → 28866 Len=659
72,1036,0.259605333,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
73,1039,0.260158789,10.0.0.9,10.0.0.11,UDP,89,55878 → 28866 Len=47
74,1042,0.260296812,10.0.0.10,10.0.0.13,UDP,824,37053 → 28866 Len=782
75,1043,0.260346296,10.0.0.9,10.0.0.14,UDP,129,55878 → 28866 Len=87
76,1044,0.260425786,10.0.0.9,10.0.0.14,UDP,761,55878 → 28866 Len=719
77,1047,0.260699531,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
78,1051,0.261391506,10.0.0.8,10.0.0.13,UDP,621,45397 → 28866 Len=579
79,1058,0.263858029,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
80,1064,0.265365734,10.0.0.10,10.0.0.14,UDP,983,37053 → 28866 Len=941
81,1068,0.266377984,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
82,1078,0.269313334,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
83,1123,0.277165841,10.0.0.7,10.0.0.13,UDP,1042,41126 → 43355 Len=1000
84,1136,0.281244106,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
85,1143,0.282661974,10.0.0.7,10.0.0.14,UDP,1042,41126 → 43355 Len=1000
86,1146,0.284032074,10.0.0.10,10.0.0.14,UDP,163,37053 → 28866 Len=121
87,1149,0.284886398,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
88,1162,0.288592160,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
89,1172,0.290931546,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
90,1173,0.290974058,10.0.0.8,10.0.0.15,UDP,618,45397 → 28866 Len=576
91,1204,0.298293059,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
92,1210,0.299972686,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
93,1220,0.302770261,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
94,1228,0.304434943,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
95,1244,0.309108465,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
96,1265,0.316119797,10.0.0.7,10.0.0.11,UDP,1042,41126 → 43355 Len=1000
97,1287,0.321189749,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
98,1306,0.323233716,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
99,1312,0.325456628,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
100,1316,0.326762197,10.0.0.7,10.0.0.15,UDP,1042,41126 → 43355 Len=1000
101,1328,0.329776156,10.0.0.7,10.0.0.12,UDP,1042,41126 → 43355 Len=1000
