,0,1,2,3,4,5,6
0,9,0.042361733,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
1,11,0.049655600,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
2,12,0.052995834,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
3,13,0.054768153,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
4,15,0.066800987,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
5,41,0.076764955,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
6,51,0.083019235,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
7,54,0.087153225,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
8,120,0.110624177,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
9,164,0.124192840,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
10,166,0.129133006,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
11,170,0.130339917,10.0.0.1,10.0.0.12,UDP,1042,36309 → 43355 Len=1000
12,171,0.130574418,10.0.0.1,10.0.0.12,UDP,1042,36309 → 43355 Len=1000
13,172,0.130614872,10.0.0.1,10.0.0.12,UDP,1042,36309 → 43355 Len=1000
14,180,0.130967501,10.0.0.5,10.0.0.13,UDP,1042,58352 → 43355 Len=1000
15,181,0.131069074,10.0.0.5,10.0.0.13,UDP,1042,58352 → 43355 Len=1000
16,182,0.131110048,10.0.0.5,10.0.0.13,UDP,1042,58352 → 43355 Len=1000
17,205,0.133206225,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
18,227,0.141394366,10.0.0.1,10.0.0.11,UDP,1042,36309 → 43355 Len=1000
19,228,0.141466168,10.0.0.1,10.0.0.11,UDP,1042,36309 → 43355 Len=1000
20,229,0.141505384,10.0.0.1,10.0.0.11,UDP,1042,36309 → 43355 Len=1000
21,230,0.141591897,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
22,231,0.141663624,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
23,232,0.141738489,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
24,233,0.141779525,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
25,234,0.141818344,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
26,235,0.141857121,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
27,236,0.141896704,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
28,239,0.142044733,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
29,240,0.142147163,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
30,241,0.142191378,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
31,244,0.145863639,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
32,247,0.147143406,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
33,249,0.148540546,10.0.0.1,10.0.0.11,UDP,1042,36309 → 43355 Len=1000
34,250,0.148707361,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
35,251,0.148748156,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
36,253,0.149043399,10.0.0.1,10.0.0.11,UDP,1042,36309 → 43355 Len=1000
37,257,0.149278341,10.0.0.5,10.0.0.13,UDP,1042,58352 → 43355 Len=1000
38,258,0.149356551,10.0.0.1,10.0.0.11,UDP,1042,36309 → 43355 Len=1000
39,271,0.149934456,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
40,273,0.150044610,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
41,274,0.150082917,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
42,275,0.150120426,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
43,276,0.150158347,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
44,277,0.151098085,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
45,292,0.153106586,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
46,293,0.153823255,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
47,295,0.154932372,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
48,296,0.155385184,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
49,298,0.158394418,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
50,305,0.159280799,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
51,306,0.159339631,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
52,313,0.164883877,10.0.0.5,10.0.0.13,UDP,1042,58352 → 43355 Len=1000
53,315,0.165279994,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
54,316,0.165323282,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
55,317,0.165360448,10.0.0.5,10.0.0.15,UDP,1042,58352 → 43355 Len=1000
56,318,0.165419224,10.0.0.5,10.0.0.15,UDP,1042,58352 → 43355 Len=1000
57,329,0.165904202,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
58,330,0.165960528,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
59,331,0.165994677,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
60,332,0.166029269,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
61,333,0.166063323,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
62,366,0.168358518,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
63,371,0.170849392,10.0.0.3,10.0.0.15,UDP,1042,54391 → 43355 Len=1000
64,376,0.173083068,10.0.0.5,10.0.0.15,UDP,1042,58352 → 43355 Len=1000
65,379,0.173791289,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
66,382,0.175167830,10.0.0.1,10.0.0.15,UDP,1042,36309 → 43355 Len=1000
67,384,0.176024814,10.0.0.5,10.0.0.13,UDP,1042,58352 → 43355 Len=1000
68,385,0.176559010,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
69,388,0.178525969,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
70,391,0.179038449,10.0.0.1,10.0.0.12,UDP,1042,36309 → 43355 Len=1000
71,392,0.179129755,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
72,395,0.179220564,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
73,399,0.180186753,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
74,409,0.182540861,10.0.0.1,10.0.0.15,UDP,1042,36309 → 43355 Len=1000
75,411,0.183011387,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
76,416,0.185988199,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
77,417,0.186026656,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
78,419,0.186103792,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
79,426,0.186367327,10.0.0.2,10.0.0.13,UDP,1042,60665 → 43355 Len=1000
80,427,0.186424337,10.0.0.2,10.0.0.13,UDP,1042,60665 → 43355 Len=1000
81,428,0.186459500,10.0.0.2,10.0.0.13,UDP,1042,60665 → 43355 Len=1000
82,430,0.186763198,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
83,445,0.188436841,10.0.0.5,10.0.0.13,UDP,1042,58352 → 43355 Len=1000
84,446,0.188438716,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
85,447,0.188981861,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
86,448,0.189919382,10.0.0.5,10.0.0.11,UDP,1042,58352 → 43355 Len=1000
87,449,0.190162819,10.0.0.3,10.0.0.12,UDP,1042,54391 → 43355 Len=1000
88,450,0.190313761,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
89,451,0.190365844,10.0.0.5,10.0.0.14,UDP,1042,58352 → 43355 Len=1000
90,452,0.190438410,10.0.0.2,10.0.0.13,UDP,1042,60665 → 43355 Len=1000
91,453,0.190676921,10.0.0.2,10.0.0.13,UDP,1042,60665 → 43355 Len=1000
92,457,0.191050023,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
93,460,0.191169623,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
94,461,0.191204872,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
95,462,0.191468520,10.0.0.3,10.0.0.15,UDP,1042,54391 → 43355 Len=1000
96,465,0.193329726,10.0.0.3,10.0.0.13,UDP,1042,54391 → 43355 Len=1000
97,467,0.194644151,10.0.0.2,10.0.0.13,UDP,1042,60665 → 43355 Len=1000
98,479,0.196389019,10.0.0.1,10.0.0.14,UDP,1042,36309 → 43355 Len=1000
99,491,0.197724636,10.0.0.3,10.0.0.11,UDP,1042,54391 → 43355 Len=1000
100,492,0.197774289,10.0.0.3,10.0.0.11,UDP,1042,54391 → 43355 Len=1000
101,493,0.197803599,10.0.0.3,10.0.0.11,UDP,1042,54391 → 43355 Len=1000
102,494,0.197831704,10.0.0.3,10.0.0.11,UDP,1042,54391 → 43355 Len=1000
103,495,0.197860122,10.0.0.3,10.0.0.11,UDP,1042,54391 → 43355 Len=1000
104,496,0.197888413,10.0.0.3,10.0.0.11,UDP,1042,54391 → 43355 Len=1000
105,497,0.197917888,10.0.0.5,10.0.0.12,UDP,1042,58352 → 43355 Len=1000
106,498,0.197966580,10.0.0.5,10.0.0.12,UDP,1042,58352 → 43355 Len=1000
107,499,0.197995426,10.0.0.5,10.0.0.12,UDP,1042,58352 → 43355 Len=1000
108,500,0.198023999,10.0.0.5,10.0.0.12,UDP,1042,58352 → 43355 Len=1000
109,502,0.198098566,10.0.0.1,10.0.0.15,UDP,1042,36309 → 43355 Len=1000
110,503,0.198962682,10.0.0.3,10.0.0.14,UDP,1042,54391 → 43355 Len=1000
